Bezeichnung;Preis/Flasche (0,75l);Weinart;Herkunfstland;Jahrgang;Weingut;Region;Rebsorte
Terre Siciliane Rosato;28,40 €;Rosé;Italien;2021;Baglio Mancini;Sizilien;Cuvée
Sicilia Grillo;19,50 €;Weißwein;Italien;2021;Baglio Mancini;Sizilien;Grillo
Cerasuolo Montepulciano D'Abruzzo;25,50 €;Rosé;Italien;2020;Cipresso;Abruzzen;Montepulciano
Rosé Prinzessin trocken;24,10 €;Rosé;Österreich;2020;Esterhazy;Burgenland;Cuvée
Gewürztraminer;35,70 €;Weißwein;Frankreich;2017;F.E. Trimbach;Elsass;Gewürztraminer
Veramente Rosso Edizione Limitata;27,80 €;Rotweint;Italien;2020;Casa Vinicola Botter;Apulien;Cuvée
Lugana;21,20 €;Weißwein;Italien;2021;Cantarelle;Venetien;Trebbiano di Lugana
Lebenswerk Merlot Rosé trocken;28,10 €;Rosé;Deutschland;2021;Karl Pfaffmann;Pfalz;Merlot
Blaufränkisch Rosé halbtrocken;32,10 €;Rosé;Österreich;2021;G&R Triebaumer;Burgenland;Blaufränkisch
Weiß Sekt Reserve Traditionelle Flasche;77,40 €;Schaumwein;Österreich;2019;Bründlmayer;Niederösterreich;Cuvée
Champagne Blanc brut;79,90 €;Schaumwein;Frankreich;2020;Champagne Olivier Mar;Champagne;Cuvée
Châteauneuf-du-Pape Hommage à l'an;79,90 €;Rotwein;Frankreich;2019;Crous St. Martin;Rhone;Cuvée
Nocturne Sec City Lights;299,00 €;Schaumwein;Frankreich;2020;Champagne Taittinger;Champagne;Cuvée
Riesling 20 trocken;23,50 €;Weißwein;Deutschland;2020;Knipser;Pfalz;Riesling
Cuvée ERD.REICH trocken;43,60 €;Rotwein;Österreich;2020;Grassl;Carnuntum;Cuvée
Tio Pepe en Rama;41,30 €;Weißwein;Spanien;2020;Gonzalez Byass;Jerez;Palomino
Cuvée Noir trocken;44,10 €;Rotwein;Österreich;2019;Schwarz;Burgenland;Cuvée
Chablis;33,60 €;Weißwein;Frankreich;2019;Domaine Besson;Burgund;Chardonnay
Sekt Rosé Brut;70,50 €;Schaumwein;Österreich;2018;Bründlmayer;Niederösterreich;Cuvée
Zweigelt Classic trocken;25,80 €;Rotwein;Österreich;2019;Reumann.;Burgenland;Zweigelt
Roc Gris;47,80 €;Rotwein;Frankreich;2018;Les Vignerons de Tautay;Languedoc-Roussillon;Grenache
Cabernet Sauvignon trocken;39,90 €;Rotwein;Österreich;2018;Familie Auer;Niederösterreich;Cabernet Sauvignon
Pinot Noir Rosé trocken;25,70 €;Rosé;Deutschland;2021;Kruger-Rumpf;Nahe;Spätburgunder
Roma Rosso Collezione Oro;35,60 €;Rotwein;Italien;2020;Federici;Latium;Cuvée
Duo Reale Sangiovese Primitivo;31,00 €;Rotwein;Italien;2021;Rocca Vini;Apulien;Cuvée
Blaufränkisch Leithaberg DAC;45,70 €;Rotwein;Österreich;2017;Esterhazy;Burgenland;Blaufränkisch
Gran Reserva;31,60 €;Rotwein;Spanien;2014;Sierra de Viento;Carinena DOP;Cuvée
Masso Antico Primitivo Appassito Colle;35,40 €;Rotwein;Italien;2021;Cantine di ora;Apulien;Primitivo
Grüner Veltliner;22,70 €;Weißwein;Österreich;2021;Winzer Krems;Niederösterreich;Grüner Veltliner
Rotschiefer DAC trocken;27,60 €;Weißwein;Österreich;2021;Schauer;Südsteiermark;Sauvignon Blanc
Grüner Veltliner Klassik;20,00 €;Weißwein;Österreich;2021;Josef & Philipp Bründim;Niederösterreich;Grüner Veltliner
